ProductID,Product Name,Product Description,Cost Price,Selling Price,Eat Out Price,Popup Notes,Tax Percentage,Eat Out Tax Percentage,Category Name,Brand Name,Unit Of Sale,Volume Of Sale,Barcode,Supplier,OrderCode,RRP,Product Type,Article Code,Tare Weight,Button Colour,Multiple Choice Note Name,Till Order,SKU,Sell On Till,Sell On Web
10595207,SOFT MANSIZE 2PLY TISSUES,SOFT MANSIZE 2PLY TISSUES,0.49,1,1,,20,0,home,,,0,5.01729E+12,Rayburn,,0,Standard,,,,,,,y,n
10595208,SOFT QUILT WHITE 3PLY 4ROLL,SOFT QUILT WHITE 3PLY 4ROLL,0.65,1,1,,20,0,health&beauty,,,0,5.06004E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595209,SPRITE PM 0.59 6/17,SPRITE PM 0.59 6/17,0.21,0.59,0.59,,20,0,drinks,,,0,5.00011E+12,Rayburn,,0,Standard,,,,,,,y,n
10595210,Squeaky Clean 4pk Stainless,Squeaky Clean 4pk Stainless Stee,0.42,1,1,,20,0,home,,,0,5.01125E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595211,Squeaky Clean 8pk Yellow Dus,Squeaky Clean 8pk Yellow Dusters,0.42,1,1,,20,0,home,,,0,5.01125E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595212,Stardrops Home All Round Cle,Stardrops Home All Round Cleaner,0.61,1,1,,20,0,home,,,0,5.06003E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595213,Stardrops Home Ammonia Power,Stardrops Home Ammonia Power Cle,0.61,1,1,,20,0,home,,,0,5.06003E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595214,STARDROPS PET/STAIN ODOUR RE,STARDROPS PET/STAIN ODOUR REMOVE,0.64,1,1,,20,0,home,,,0,5.06003E+12,Rayburn,,0,Standard,,,,,,,y,n
10595215,STATIONERY SET 7PCE(R),STATIONERY SET 7PCE(R),0.4,1,1,,20,0,stationery,,,0,5.01392E+12,Rayburn,,0,Standard,,,,,,,y,n
10595216,STATUS EXTENSION LEAD 13AMP,STATUS EXTENSION LEAD 13AMP 4 GA,1.7,3.99,2.99,,20,0,home,,,0,5.02282E+12,Rayburn,,0,Standard,,,,,,,y,n
10595217,STEREO EARPHONES 6 ASSTD,STEREO EARPHONES 6 ASSTD,0.52,1,1,,20,0,electrical,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595221,STORAGE BOXES SET3 WNENTS 3,STORAGE BOXES SET3 WNENTS 3 ASST,0.62,1,1,,20,0,home,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595222,SUMMER PAPER BOWLS 18CM 16PK,SUMMER PAPER BOWLS 18CM 16PK 4 A,0.52,1,1,,20,0,home,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595223,Supercat (Felix Quality) 400,Supercat (Felix Quality) 400g Ch,0.3,0.59,0.59,,20,0,food,,,0,5.02572E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595224,Supercat (Felix Quality) 400,Supercat (Felix Quality) 400g Be,0.3,0.59,0.59,,20,0,food,,,0,5.02572E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595225,SUPERMAX SHAVE FOAM MENTHOL,SUPERMAX SHAVE FOAM MENTHOL 23/1,0.5,1,1,,20,0,health&beauty,,,0,5.01341E+12,Rayburn,,0,Standard,,,,,,,y,n
10595226,Sure For Men 150ml Active PM,Sure For Men 150ml Active PM £1.,0.7,1.29,1.29,,20,0,health&beauty,,,0,8.71091E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595227,SURE ROLL ON EXTREME,SURE ROLL ON EXTREME,0.67,1.19,1.19,,20,0,health&beauty,,,0,50096695,Rayburn,,0,Standard,,,,,,,y,n
10595228,SURE ROLL ON FOR MEN SENS,SURE ROLL ON FOR MEN SENS,0.67,1.19,1.19,,20,0,health&beauty,,,0,50096725,Rayburn,,0,Standard,,,,,,,y,n
10595229,SURE ROLL ON MEN XTRA COOL(D,SURE ROLL ON MEN XTRA COOL(D),0.67,1.19,1.19,,20,0,health&beauty,,,0,96005408,Rayburn,,0,Standard,,,,,,,y,n
10595230,Surf Wash Powder Golden Blos,Surf Wash Powder Golden Blossom,1.85,3.19,3.19,,20,0,home,,,0,,SOS Wholesale,,0,Standard,,,,,,,y,n
10595231,SWISH KITCHEN BRUSHES 4PK**,SWISH KITCHEN BRUSHES 4PK**,0.54,1,1,,20,0,home,,,0,5.05058E+12,discount wholesale,,0,Standard,,,,,,,y,n
10595232,SWIZZELS DOUBLE LOLLIES 30/,SWIZZELS DOUBLE LOLLIES 30/9/17,0.66,1.19,1.19,,20,0,confectionery,,,0,5.01048E+12,Rayburn,,0,Standard,,,,,,,y,n
10595233,Tango 1.5 Ltr Orange RRP £1.,Tango 1.5 Ltr Orange RRP £1.49,0.59,1.09,1.09,,20,0,drinks,,,0,5.0101E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595234,Tango 600ml Apple PET RRP £1,Tango 600ml Apple PET RRP £1.29,0.33,0.59,0.59,,20,0,drinks,,,0,5.0101E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595235,Tango 600ml Cherry PET RRP £,Tango 600ml Cherry PET RRP £1.29,0.33,0.59,0.59,,20,0,drinks,,,0,5.0101E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595236,Tango 600ml Orange PET RRP £,Tango 600ml Orange PET RRP £1.29,0.33,0.59,0.59,,20,0,drinks,,,0,5.0101E+12,SOS Wholesale,,0,Standard,,,,,,,y,n
10595237,TANGO BTL 31/03/17,TANGO BTL 31/03/17,0.62,1,1,,20,0,confectionery,,,0,5.0101E+12,Rayburn,,0,Standard,,,,,,,y,n
10595238,TANGO ORANGE BTL 31/03/17,TANGO ORANGE BTL 31/03/17,0.33,0.59,0.79,,20,0,confectionery,,,0,5.0101E+12,Rayburn,,0,Standard,,,,,,,y,n
10595239,TANGO ORANGE CAN 30/8/17,TANGO ORANGE CAN 30/8/17,0.2,0.49,0.49,,20,0,confectionery,,,0,5.0101E+12,Rayburn,,0,Standard,,,,,,,y,n
10595240,TARA BATH SALTS DEAD SEA,TARA BATH SALTS DEAD SEA,0.47,1,1,,20,0,health&beauty,,,0,5.01129E+12,Rayburn,,0,Standard,,,,,,,y,n
10595245,TAVENERS FRUIT PASTILLES CTN,TAVENERS FRUIT PASTILLES CTN 05/,0.65,1.19,1.19,,20,0,confectionery,,,0,5.01051E+12,Rayburn,,0,Standard,,,,,,,y,n
10595246,TAVENERS WINE GUMS CTN 06/17,TAVENERS WINE GUMS CTN 06/17,0.65,1.19,1.19,,20,0,confectionery,,,0,5.01051E+12,Rayburn,,0,Standard,,,,,,,y,n
10595247,TEALIGHT CANDLES 4HR(R),TEALIGHT CANDLES 4HR(R),0.63,1,1,,20,0,home,,,0,5.06037E+12,Rayburn,,0,Standard,,,,,,,y,n
